instrument,datetime,$close,$volume,"Ref($close, 1)","Mean($close, 3)",$high-$low
SH600000,2010-01-04,4.260015,329246200.0,4.3605366,4.323008,0.14273834
SH600000,2010-01-05,4.292182,572764200.0,4.260015,4.3042445,0.15881968
SH600000,2010-01-06,4.207747,481411870.0,4.292182,4.2533145,0.08443594
SH600000,2010-01-07,4.1132584,423977760.0,4.207747,4.204396,0.14877224
SH600000,2010-01-08,4.1594963,326840300.0,4.1132584,4.160167,0.10052252
SH600000,2010-01-11,4.1594963,578518660.0,4.1594963,4.1440835,0.24727821
SH600000,2010-01-12,4.181612,409627680.0,4.1594963,4.166868,0.14273787
SH600000,2010-01-13,3.9866014,728215400.0,4.181612,4.1092367,0.110569954
SH600000,2010-01-14,4.014747,384705280.0,3.9866014,4.060987,0.07639551
SH600000,2010-01-15,4.0288224,344130530.0,4.014747,4.010057,0.10654712
SH600000,2010-01-18,4.0690312,347893730.0,4.0288224,4.0375338,0.08443618
SH600000,2010-01-19,4.091142,348022720.0,4.0690312,4.062999,0.076395035
SH600000,2010-01-20,3.978561,401795230.0,4.091142,4.0462446,0.18697
SH600000,2010-01-21,4.1152697,464676900.0,3.978561,4.0616574,0.16284251
SH600000,2010-01-22,4.201717,768238850.0,4.1152697,4.098516,0.21912861
SH600000,2010-01-25,4.1132584,399090340.0,4.201717,4.143415,0.11258125
SH600000,2010-01-26,4.1594963,457307070.0,4.1132584,4.1581573,0.14676094
SH600000,2010-01-27,3.992636,468885920.0,4.1594963,4.088464,0.20506334
SH600000,2010-01-28,3.960468,291941860.0,3.992636,4.0375333,0.094488144
SH600000,2010-01-29,3.944386,267063120.0,3.960468,3.96583,0.11258125
SH600000,2010-02-01,3.8639684,257011890.0,3.944386,3.9229407,0.12464523
SH600000,2010-02-02,3.8679905,243582540.0,3.8639684,3.8921149,0.106552124
SH600000,2010-02-03,3.998665,380488770.0,3.8679905,3.910208,0.18495393
SH600000,2010-02-04,3.9524267,229617630.0,3.998665,3.9396942,0.058302164
SH600000,2010-02-05,3.9041774,218345440.0,3.9524267,3.9517565,0.10454035
SH600000,2010-02-08,3.8639684,185192800.0,3.9041774,3.9068575,0.0844357
SH600000,2010-02-09,3.9041774,131796250.0,3.8639684,3.8907745,0.0643363
SH600000,2010-02-10,3.9564497,152753920.0,3.9041774,3.9081986,0.050261736
SH600000,2010-02-11,3.9484038,136170050.0,3.9564497,3.9363437,0.042215586
SH600000,2010-02-12,3.9825838,147645540.0,3.9484038,3.962479,0.044227123
SH600000,2010-02-22,3.9564497,166289760.0,3.9825838,3.962479,0.056290865
SH600000,2010-02-23,3.9182522,152064750.0,3.9564497,3.9524286,0.08041334
SH600000,2010-02-24,3.9524267,193884560.0,3.9182522,3.9423761,0.088459015
SH600000,2010-02-25,4.1695485,967354560.0,3.9524267,4.013409,0.21109247
SH600000,2010-03-11,4.2821307,1145408300.0,4.1695485,4.1347017,0.18093538
SH600000,2010-03-12,4.2298627,372622940.0,4.2821307,4.2271805,0.10051775
SH600000,2010-03-15,4.157485,289134530.0,4.2298627,4.2231593,0.11459255
SH600000,2010-03-16,4.260015,280259070.0,4.157485,4.2157874,0.13871527
SH600000,2010-03-17,4.3565145,451357220.0,4.260015,4.2580047,0.16083097
SH600000,2010-03-18,4.362548,442619700.0,4.3565145,4.3263593,0.13268566
SH600000,2010-03-19,4.382653,222626960.0,4.362548,4.3672385,0.108558655
