instrument,datetime,$close,$volume,"Ref($close, 1)","Mean($close, 3)",$high-$low
SH600000,2018-01-02,9.063874,43957940.0,8.971241,8.990243,0.121136665
SH600000,2018-01-03,9.021121,53102384.0,9.063874,9.018745,0.0997591
SH600000,2018-01-04,9.021121,39131384.0,9.021121,9.035372,0.07838249
SH600000,2018-01-05,9.042497,43542108.0,9.021121,9.028246,0.06413078
SH600000,2018-01-08,9.035373,44051730.0,9.042497,9.032997,0.057005882
SH600000,2018-01-09,9.049623,36790040.0,9.035373,9.042498,0.05700493
SH600000,2018-01-10,9.277645,127257890.0,9.049623,9.12088,0.29215336
SH600000,2018-01-11,9.220639,53070544.0,9.277645,9.182635,0.121136665
SH600000,2018-01-12,9.199262,33966436.0,9.220639,9.232515,0.07125759
SH600000,2018-01-15,9.277645,86055816.0,9.199262,9.232515,0.16389084
SH600000,2018-01-16,9.192136,105102360.0,9.277645,9.223014,0.19951916
SH600000,2018-01-17,9.334651,178414800.0,9.192136,9.268144,0.37766075
SH600000,2018-01-18,9.43441,156627790.0,9.334651,9.320399,0.14251328
SH600000,2018-01-19,9.43441,240887440.0,9.43441,9.401157,0.3064041
SH600000,2018-01-22,9.099503,382438620.0,9.43441,9.322774,0.31352997
SH600000,2018-01-23,9.192136,305693250.0,9.099503,9.242016,0.17101574
SH600000,2018-01-24,9.669558,532795780.0,9.192136,9.320398,0.7909508
SH600000,2018-01-25,9.7265625,248382540.0,9.669558,9.529419,0.28502846
SH600000,2018-01-26,9.555547,306524380.0,9.7265625,9.650556,0.25652504
SH600000,2018-01-29,9.591175,215815120.0,9.555547,9.624428,0.14963913
SH600000,2018-01-30,9.341776,151289300.0,9.591175,9.496166,0.2850275
SH600000,2018-01-31,9.384531,165181620.0,9.341776,9.43916,0.14963913
SH600000,2018-02-01,9.477165,243588180.0,9.384531,9.401157,0.2779026
SH600000,2018-02-02,9.363153,100757700.0,9.477165,9.408283,0.12826157
SH600000,2018-02-05,9.612553,210716020.0,9.363153,9.48429,0.3990383
SH600000,2018-02-06,9.605427,342926880.0,9.612553,9.527044,0.21377087
SH600000,2018-02-07,9.584049,281755460.0,9.605427,9.600677,0.47029495
SH600000,2018-02-08,9.334651,153566750.0,9.584049,9.508042,0.32065582
SH600000,2018-02-09,9.106628,209463800.0,9.334651,9.341776,0.52730083
SH600000,2018-02-12,8.899983,90937470.0,9.106628,9.113754,0.17814255
